uid	R2-V23	R2-V20	R2-V5	R2-V2	R2-V25	R2-V17	R2-V13	R2-V3	R2-V1	R2-V0	R2-V28	R2-V26	R2-Others	R2-V8	R2-V24	R2-V29	R2-V22	R2-V16	R2-V14	R1-V1	R1-V2	R3-V23	R3-V15	R3-V7	R3-V25	R3-V13	R3-V6	R3-V1	R3-V0	R3-V28	R3-V8	R3-V24	R3-V22	R3-V16	R3-V10
TCGA-H7-7774-01A.bed	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-BB-4224-01A.bed	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-7438-01A.bed	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CR-5248-01A.bed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-HD-7831-01A.bed	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-P3-A5Q5-01A.bed	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-A460-01A.bed	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D6-A74Q-01A.bed	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-CV-A6JD-01A.bed	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-QK-A6II-01A.bed	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
